head0_head0_trans_x,head0_head0_trans_y,head0_head0_ori_y,head0_head0_ori_w,head0_head1_trans_x,head0_head1_trans_z,head0_head1_ori_y,head0_head2_trans_x,head0_head2_ori_x,head0_AU26,Class_P0,ClassP2
0,0,0,1,0.743459449,1.089867759,-0.438558522,0.223411713,0.088055799,0,FALSE,TRUE
0,0,0,1,0.743459449,1.089867759,-0.438558522,0.223411713,0.088055799,0,FALSE,TRUE
0,0,0,1,0.968102983,-0.123482095,-0.219068512,0.430093313,-0.022604695,0,FALSE,TRUE
0,0,0,1,0.99440436,-0.010556099,-0.201630421,0.449679628,-0.001154192,1,FALSE,TRUE
0,0,0,1,1.026580295,-0.019097467,-0.200032027,0.467438466,0.102456904,0,TRUE,TRUE
0,0,0,1,1.026580295,-0.019097467,-0.200032027,0.405403659,0.302647482,0,FALSE,TRUE
0,0,0,1,1.026580295,-0.019097467,-0.200032027,0.383610544,0.291667704,,FALSE,TRUE
0,0,0,1,-0.901217685,-1.048797456,0.030723572,-0.444948293,0.013572616,0,FALSE,TRUE
0,0,0,1,-0.417434518,0.201831402,0.259727237,0.454275134,0.159971256,0,FALSE,TRUE
0,0,0,1,-0.401934515,0.203909665,0.263512825,0.39116992,0.272281099,0,TRUE,TRUE
0,0,0,1,-0.168063513,0.432016754,0.52875291,0.28159165,0.435041888,0,FALSE,TRUE
0,0,0,1,-0.216013625,0.384286881,0.644678927,-0.004290402,0.314214386,0,FALSE,TRUE
0,0,0,1,-0.481472526,0.049149899,0.280938803,-0.004290402,0.314214386,0,FALSE,TRUE
0,0,0,1,-0.496146398,-0.035164401,0.245044087,0.359020286,-0.098054877,0,FALSE,TRUE
0,0,0,1,-0.395553226,-0.442136772,-0.005775244,0.713009443,-0.270896947,0,FALSE,TRUE
0,0,0,1,-0.47166492,0.032579823,0.405121573,0.60800377,0.115406239,0,FALSE,TRUE
0,0,0,1,-0.460701768,0.043190892,0.370882843,0.61241061,0.126193599,0,FALSE,TRUE
0,0,0,1,-0.493991797,-0.061856586,0.288850338,0.629880596,0.066209214,0,FALSE,TRUE
0,0,0,1,-0.465013149,0.031426302,0.337942098,0.631673302,0.120832559,0,FALSE,TRUE
0,0,0,1,-0.97994368,0.220393653,0.229868862,-0.462349478,-0.046675811,1,FALSE,TRUE
0,0,0,1,-0.904518107,0.182065344,0.085823323,-0.427293799,-0.195005702,0,FALSE,TRUE
0,0,0,1,-0.903144148,-0.067178644,0.077824429,-0.413030614,-0.195294211,0,FALSE,FALSE
0,0,0,1,-0.903144148,-0.067178644,0.077824429,-0.413030614,-0.195294211,0,FALSE,FALSE
0,0,0,1,-0.983582517,0.481706317,0.20333689,-0.535798083,-0.001602399,0,FALSE,FALSE
0,0,0,1,-1.108659673,0.703797681,0.144905161,-0.588088485,-0.032326049,0,FALSE,TRUE
0,0,0,1,-0.809979919,0.486665524,0.230097969,-0.534777778,-0.108120317,0,FALSE,TRUE
0,0,0,1,-1.028263732,0.240008587,0.250266247,-0.606415652,0.061053336,0,FALSE,FALSE
0,0,0,1,-0.996330651,0.305944342,0.277132526,-0.60764669,-0.028597427,0,FALSE,FALSE
0,0,0,1,-1.056013218,0.246539381,0.212254176,-0.604840064,-0.03414633,0,FALSE,FALSE
0,0,0,1,-1.078275789,0.204995474,0.239464757,-0.593414076,-0.026723385,0,FALSE,FALSE
0,0,0,1,-1.32376074,0.066728188,0.180659715,-0.261041637,-0.141606682,0,FALSE,FALSE
0,0,0,1,-1.116986162,0.120225681,0.318592415,-0.480747036,0.045754239,0,FALSE,TRUE
0,0,0,1,-1.1213872,0.11861144,0.313483256,-0.480901428,0.060510457,0,FALSE,TRUE
