head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
1.171504546,-0.180893575,,,,,0.957881389,0,0,0,0.261458804,1,,0,1,FALSE,FALSE
1.166762986,-0.174191598,,,,,0.95786796,0,0,0,0.245965363,1,,0,1,FALSE,FALSE
1.177163319,-0.106147962,,,,,0.957453401,0,0,0,0.232218447,1,,0,1,FALSE,FALSE
1.177163319,-0.106147962,,,,,0.957453401,0,0,0,0.232218447,1,,0,1,FALSE,FALSE
1.199582366,-0.128300243,,,,,0.943016973,0,0,0,0.185845258,1,,0,1,FALSE,FALSE
1.045868816,-0.203340608,,,,,0.881252411,0,0,0,0.242222667,1,,0,1,FALSE,FALSE
1.045868816,-0.203340608,,,,,0.881252411,0,0,0,0.303144896,1,,0,1,FALSE,FALSE
0.857764977,-0.368452375,,,,,0.907506641,0,0,0,0.41089789,1,,0,1,FALSE,FALSE
0.865823618,-0.315467613,,,,,0.912253146,0,0,0,0.361177122,1,,0,1,FALSE,FALSE
1.078153844,-0.289315788,,,,,0.962398425,0,0,0,0.326106515,1,,0,1,FALSE,FALSE
1.119919152,-0.334676348,,,,,0.945054234,0,0,0,0.369989167,0,,0,1,FALSE,FALSE
0.98206443,-0.325662896,,,,,0.961434867,0,0,0,0.449962465,0,,0,1,FALSE,FALSE
0.969812079,-0.325111876,,,,,0.961378192,0,0,0,0.449962465,1,,0,1,FALSE,FALSE
0.531374859,-0.374636312,,,,,0.821000515,0,0,0,0.649552909,0,,1,0,FALSE,FALSE
0.881016281,-0.541730452,,,,,0.926917216,0,0,0,0.615098459,1,,0,0,FALSE,FALSE
1.049692094,-0.339595559,,,,,0.968530588,0,0,0,0.282917674,0,,0,0,FALSE,FALSE
1.056810373,-0.34424228,,,,,0.973497666,0,0,0,0.549676562,0,,0,1,FALSE,FALSE
1.064561773,-0.318490036,,,,,0.975724534,0,0,0,0.549676562,1,,0,1,FALSE,FALSE
1.05079162,-0.304604683,,,,,0.976101225,0,0,0,0.549676562,1,,0,1,FALSE,FALSE
1.02965325,-0.3198097,,,,,0.976182265,0,0,0,0.394578598,1,,0,1,FALSE,FALSE
0.532761751,-1.019783409,,,,,0.744382768,0,0,0,-0.442828337,0,,0,0,TRUE,TRUE
1.03290737,-0.132896888,,,,,0.934985119,0,0,0,0.021109816,0,,0,0,TRUE,TRUE
1.067076308,-0.200709708,,,,,0.94824894,0,0,0,-0.006043963,0,,0,0,TRUE,TRUE
1.067076308,-0.200709708,,,,,0.94824894,0,0,0,0.012229575,,,,,TRUE,TRUE
1.067076308,-0.200709708,,,,,0.94824894,0,0,0,0.012229575,,,,,TRUE,TRUE
0.590116646,-0.04976876,,,,,0.988910165,0,0,0,0.510200061,0,,0,0,TRUE,TRUE
0.6028166,-0.056678262,,,,,0.991830988,0,0,0,0.424087149,1,,0,0,TRUE,TRUE
0.606366318,-0.05092941,,,,,0.993807941,0,0,0,0.379567686,0,,0,0,TRUE,TRUE
