head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
-0.450365248,-0.100378303,-0.118307603,-0.007873373,-0.157989504,0.064860938,0.985276806,0,0,0,0,0,0,1,0.592439814,0.034260966,-0.05926074,-0.197004387,-0.259619214,0.05471637,0.943818443,sad,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,armsCrossed,TRUE,TRUE
-0.270967343,-0.192831927,-0.389012931,-0.115410137,-0.250110569,0.120363432,0.953749363,0,0,0,0,0,0,1,0.648296346,0.020689206,-0.00438398,-0.248880698,-0.266352025,0.146916972,0.91952727,neutual,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,armsCrossed,TRUE,TRUE
-0.984767897,-0.135576303,0.124780774,0.184174057,0.237235944,0.26838291,0.915297567,0,0,0,0,0,0,1,-0.478444121,-0.061805023,0.267802608,0.317728519,0.101479774,0.055755171,0.94108544,neutual,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,armsCrossed,TRUE,TRUE
-1.017939765,-0.055925322,-0.200888322,-0.516913167,0.364291761,0.390550512,0.669001187,0,0,0,0,0,0,1,-0.488092219,0.123466396,0.117857369,-0.017310829,-0.010269021,0.025089106,0.999482576,happy,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,other,FALSE,FALSE
-1.044911598,-0.057666766,-0.224921654,-0.455457932,0.367459776,0.367953458,0.722593688,0,0,0,0,0,0,1,-0.513284975,0.128145071,0.156299395,0.00482626,0.016972378,0.01478514,0.999734988,neutual,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,other,FALSE,FALSE
-0.464088289,-0.207503041,0.166625608,0.192608942,0.150211881,0.198931488,0.949086113,0,0,0,0,0,0,1,0.544819496,0.095059148,-0.081420544,-0.115391861,0.087772768,0.058941288,0.987677368,happy,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,other,FALSE,FALSE
-0.575876815,-0.204642833,-0.014490555,0.292509716,0.192861687,0.294320457,0.889166972,0,0,0,0,0,0,1,0.515174721,0.140025456,-0.077344194,-0.088146625,0.091109824,0.1147399,0.985273529,neutual,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,other,FALSE,FALSE
-0.525306848,-0.251336555,0.027942374,0.304711582,0.247269989,0.30573265,0.8674883,0,0,0,0,0,0,1,0.515174721,0.140025456,-0.077344194,-0.088146625,0.091109824,0.1147399,0.985273529,neutual,,,,,,,,,,,,,,,,,,,other,FALSE,FALSE
-0.525306848,-0.251336555,0.027942374,0.304711582,0.247269989,0.30573265,0.8674883,0,0,0,0,0,0,1,0.515174721,0.140025456,-0.077344194,-0.088146625,0.091109824,0.1147399,0.985273529,neutual,,,,,,,,,,,,,,,,,,,armsCrossed,FALSE,FALSE
-0.525306848,-0.251336555,0.027942374,0.304711582,0.247269989,0.30573265,0.8674883,0,0,0,0,0,0,1,0.515174721,0.140025456,-0.077344194,-0.088146625,0.091109824,0.1147399,0.985273529,neutual,,,,,,,,,,,,,,,,,,,armsCrossed,FALSE,TRUE
-1.341663366,-0.012776521,-0.092300579,-0.104058624,0.438558522,0.058025883,0.890770017,0,0,0,0,0,0,1,-0.399915886,0.084940042,0.350003126,-0.016019209,0.115610644,0.017590345,0.993009639,neutual,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,other,FALSE,FALSE
-1.341663366,-0.012776521,-0.092300579,-0.104058624,0.438558522,0.058025883,0.890770017,0,0,0,0,0,0,1,-0.477223815,0.266648314,0.13606435,-0.303631102,0.027506033,-0.075990614,0.949356097,neutual,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,other,FALSE,FALSE
