head0_head0_trans_x,head0_head1_trans_x,head0_head2_trans_x,head0_head2_trans_z,head0_head2_ori_y,head0_head2_ori_w,head0_AU28,head0_AU05,head0_AU20,head0_AU02,Class_P0,ClassP1
0,-1.141796939,-0.466119663,0.172490448,0.232412791,0.964062353,1,0,1,1,FALSE,FALSE
0,-0.772890926,-0.471870763,0.214871867,0.207376142,0.97041374,0,0,1,1,FALSE,FALSE
0,-0.793621981,-0.484722911,0.187000626,0.204416432,0.970149114,1,0,1,1,FALSE,FALSE
0,-1.180688654,-0.476546274,0.187635768,0.2059588,0.972083083,0,0,0,1,FALSE,FALSE
0,-1.192910317,-0.492392245,0.181769993,0.176819274,0.975388767,0,0,0,1,FALSE,FALSE
0,-1.205301698,-0.51083119,0.12706504,0.132911009,0.972140433,0,0,0,1,FALSE,FALSE
0,-1.226530533,-0.537192074,0.07290047,0.095556394,0.966698588,0,0,1,0,FALSE,FALSE
0,-1.224692557,-0.540782592,0.051921808,0.086051507,0.965171339,0,0,1,1,FALSE,FALSE
0,-1.223229714,-0.545384809,0.011773895,0.073210199,0.96353913,0,0,1,1,FALSE,FALSE
0,-1.227289958,-0.548937688,-0.021015044,0.046399155,0.964983908,0,1,1,1,FALSE,FALSE
0,-1.227289958,-0.548937688,-0.021015044,0.046399155,0.964983908,0,1,1,1,FALSE,FALSE
0,-1.203984293,-0.54889645,0.023876893,0.072142192,0.962568992,1,1,1,1,FALSE,FALSE
0,-1.097119737,-0.511244619,-0.208770968,0.022625828,0.895435397,0,1,1,1,FALSE,FALSE
0,-1.097119737,-0.511244619,-0.208770968,0.022625828,0.895435397,0,1,1,1,FALSE,FALSE
0,-1.097119737,-0.511244619,-0.208770968,0.022625828,0.895435397,0,1,1,0,FALSE,FALSE
0,-1.159203373,-0.502454245,-0.031946596,0.232669537,0.972338225,0,0,0,1,FALSE,FALSE
0,-1.183209225,-0.48614164,0.119122218,0.112637419,0.992939287,0,0,0,1,FALSE,FALSE
0,-1.219403728,-0.520282363,-0.051681803,0.007064126,0.994455467,0,0,0,1,FALSE,FALSE
0,-1.198131777,-0.475887362,0.010992599,0.081979841,0.984179403,0,0,0,0,FALSE,FALSE
0,-1.198131777,-0.475887362,0.010992599,0.081979841,0.984179403,1,0,0,0,FALSE,FALSE
0,-1.158628096,-0.44297444,0.159434778,0.235798828,0.971118286,1,1,1,1,FALSE,FALSE
0,-1.286298719,-0.459830228,0.135158184,0.230332208,0.957023354,1,0,1,1,FALSE,FALSE
0,-1.120461355,-0.436274963,0.183263277,0.212959687,0.954526705,1,0,1,1,FALSE,FALSE
0,-1.130349937,-0.366946582,0.444340031,0.148839886,0.865995378,1,0,0,0,FALSE,FALSE
0,-1.133439149,-0.366946582,0.444340031,0.148839886,0.865995378,1,0,1,1,FALSE,FALSE
0,-1.100641563,-0.366946582,0.444340031,0.148839886,0.865995378,1,0,1,0,FALSE,FALSE
0,-1.108626239,-0.408017967,0.267648234,0.120691165,0.914528714,1,0,1,0,FALSE,FALSE
0,-1.154764136,-1.014938067,-0.586606037,0.169322556,0.968846534,1,1,1,1,TRUE,TRUE
0,-1.113360214,-0.585173557,-0.123601444,0.322727576,0.925765767,1,0,1,1,TRUE,TRUE
0,-1.141017169,-0.557935983,-0.173383292,0.251414975,0.947532065,1,0,1,1,TRUE,TRUE
0,-1.141017169,-0.557935983,-0.173383292,0.251414975,0.947532065,0,1,1,0,TRUE,TRUE
0,-1.141017169,-0.557935983,-0.173383292,0.251414975,0.947532065,0,1,1,1,TRUE,TRUE
0,-0.613291673,0.512648485,0.263889848,-0.085097683,0.982161081,0,1,1,1,TRUE,TRUE
0,-0.649100786,0.499839481,0.058742663,-0.129073765,0.989009801,0,0,1,0,TRUE,TRUE
0,-0.641734737,0.498362485,0.043476648,-0.14146148,0.987828697,0,0,1,0,TRUE,TRUE
0,-0.642417882,0.503295135,0.016891959,-0.138066655,0.988864914,0,0,1,0,TRUE,TRUE
0,-0.624667223,0.506359113,0.011869262,-0.141260576,0.98872974,0,0,1,0,TRUE,TRUE
0,-0.639963446,0.512292045,-0.01017328,-0.129728741,0.98505468,0,0,1,0,TRUE,TRUE
0,-0.646332577,0.505770388,0.003171527,-0.135715432,0.984777883,0,0,1,0,TRUE,TRUE
0,-0.642448775,0.509435348,0.036613099,-0.130498572,0.987061574,0,0,1,0,TRUE,TRUE
0,-0.618225959,0.512774284,0.050067908,-0.117173227,0.991057191,0,0,1,0,TRUE,TRUE
0,-0.50008156,0.611301189,0.065373829,0.021506125,0.982939028,1,1,1,1,TRUE,TRUE
0,-0.414631503,0.607667244,0.287318002,0.008998009,0.991262166,0,0,1,0,TRUE,TRUE
0,-0.543927574,0.624756079,0.03330837,0.018855901,0.976398227,1,0,0,1,TRUE,TRUE
0,-0.429081876,0.735823797,0.03896259,0.226798529,0.917318615,0,0,1,0,TRUE,TRUE
0,-0.683088008,0.479512615,0.615541451,-0.102380325,0.990955789,1,1,1,1,TRUE,TRUE
0,-0.689352054,0.571678284,0.004430383,-0.203795183,0.963122067,0,0,1,1,TRUE,TRUE
0,-0.619888157,0.581689795,0.070383382,-0.100345713,0.974727837,0,0,1,0,TRUE,TRUE
0,-0.614004183,0.585237033,0.054538154,-0.093773547,0.98286221,0,0,0,0,TRUE,TRUE
0,-0.762004658,0.568912237,0.011243738,-0.083042795,0.983805972,1,0,1,1,TRUE,TRUE
0,-0.653939561,0.56132741,-0.114607855,-0.034214653,0.99467282,1,0,0,1,TRUE,TRUE
0,-0.684597079,0.56132741,-0.114607855,-0.034214653,0.99467282,1,0,1,1,TRUE,TRUE
0,-0.684597079,0.56132741,-0.114607855,-0.034214653,0.99467282,0,0,0,1,TRUE,FALSE
0,-1.217225208,-0.466077403,0.123245052,0.185963839,0.909043436,1,0,1,1,TRUE,FALSE
0,-1.153364457,-0.525127193,0.010881316,0.299713331,0.871570693,1,1,1,1,TRUE,FALSE
0,-1.151596655,-0.470193947,-0.004049874,0.198143775,0.909966824,1,0,1,1,TRUE,FALSE
0,-1.198505442,-0.456213627,0.051898072,0.172707432,0.91869467,0,0,1,1,FALSE,FALSE
0,-1.069406336,-0.439710532,0.012707641,0.158758472,0.629904927,0,1,1,0,FALSE,FALSE
