head0_head0_trans_x,head0_head0_trans_y,head0_head0_trans_z,head0_head0_ori_x,head0_head0_ori_y,head0_head0_ori_z,head0_head0_ori_w,head0_head1_trans_x,head0_head1_trans_y,head0_head1_trans_z,head0_head1_ori_x,head0_head1_ori_y,head0_head1_ori_z,head0_head1_ori_w,head0_head2_trans_x,head0_head2_trans_y,head0_head2_trans_z,head0_head2_ori_x,head0_head2_ori_y,head0_head2_ori_z,head0_head2_ori_w,head0_emo,head0_AU28,head0_AU45,head0_AU26,head0_AU25,head0_AU01,head0_AU05,head0_AU20,head0_AU06,head0_AU23,head0_AU07,head0_AU02,head0_AU09,head0_AU17,head0_AU10,head0_AU04,head0_AU12,head0_AU14,head0_AU15,head0_pose,Class_P0,ClassP2
0,0,0,0,0,0,1,0.560659161,-0.052681809,0.041798302,0.110376834,-0.316867093,-0.105316052,0.93612004,0.932953779,-0.200235534,0.298588522,-0.03095236,-0.556284467,-0.256549976,0.789792158,happy,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,handsOnFace,TRUE,FALSE
0,0,0,0,0,0,1,0.529297765,-0.002495411,0.116330898,0.024686217,-0.344843048,-0.040411554,0.937465076,0.875821266,-0.07222598,0.419379592,-0.076773783,-0.575182552,-0.162523178,0.798033229,supprise,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,armsCrossed,TRUE,FALSE
0,0,0,0,0,0,1,0.636459819,0.006045602,-0.011644431,-0.035418805,-0.315812125,0.019692061,0.947955924,0.875821266,-0.07222598,0.419379592,-0.076773783,-0.575182552,-0.162523178,0.798033229,supprise,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,other,TRUE,FALSE
0,0,0,0,0,0,1,0.473883842,0.038819443,-0.028783752,0.007873373,0.157989504,-0.064860938,0.985276806,1.017838798,0.000674842,-0.270296852,-0.194867352,-0.094336295,0.021774367,0.976039577,supprise,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.45940522,0.026477751,0.224018497,0.115410137,0.250110569,-0.120363432,0.953749363,1.011783388,-0.064172417,-0.103695282,-0.126560595,-0.011049159,0.06095248,0.990022791,happy,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.852366842,-0.34887394,0.394305371,-0.184174057,-0.237235944,-0.26838291,0.915297567,0.371108037,-0.079940597,0.371684731,0.131500924,-0.205379351,-0.144851994,0.958928949,happy,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.2663625,-0.988102585,0.17997062,0.516913167,-0.364291761,-0.390550512,0.669001187,-0.030298247,-0.577379861,0.283254548,0.491914412,-0.37718139,-0.385178175,0.683660869,neutual,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,other,FALSE,TRUE
0,0,0,0,0,0,1,0.296319252,-0.974501089,0.329086587,0.455457932,-0.367459776,-0.367953458,0.722593688,0.061313695,-0.515447665,0.309832668,0.4646771,-0.390336176,-0.339270716,0.718754648,happy,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,armsCrossed,FALSE,TRUE
0,0,0,0,0,0,1,0.531516101,-0.043582079,-0.042317641,-0.192608942,-0.150211881,-0.198931488,0.949086113,1.066999641,-0.171935053,0.0539981,-0.29114522,-0.030749266,-0.174778819,0.940075161,sad,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,other,FALSE,TRUE
0,0,0,0,0,0,1,0.560991141,-0.093086889,0.224380351,-0.292509716,-0.192861687,-0.294320457,0.889166972,1.050885488,-0.26181234,0.37447864,-0.361892593,-0.049503778,-0.231613842,0.901630831,happy,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,other,FALSE,TRUE
